config_id,lr,scheduler,drop_path,weight_decay,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std
deit_tiny_search_cfg_01,5e-05,none,0.0,0.05,0.8048148148148148,0.0028138399871440625,0.8019259259259259,0.009152570531009402
deit_tiny_search_cfg_02,5e-05,none,0.0,0.1,0.8071851851851853,0.002447809132127167,0.8012592592592593,0.010878301731413341
deit_tiny_search_cfg_03,5e-05,none,0.1,0.05,0.8030370370370371,0.001991752542185031,0.8033333333333333,0.016552199510698726
deit_tiny_search_cfg_04,5e-05,none,0.1,0.1,0.8030370370370369,0.00301709805250612,0.802962962962963,0.017365118056116954
deit_tiny_search_cfg_05,5e-05,cosine,0.0,0.05,0.803925925925926,0.00206479405403943,0.8031851851851851,0.011142917439050559
deit_tiny_search_cfg_06,5e-05,cosine,0.0,0.1,0.8046666666666668,0.001602467233539595,0.8027407407407408,0.010457045196358414
deit_tiny_search_cfg_07,5e-05,cosine,0.1,0.05,0.8092592592592593,0.005426652713301478,0.8059259259259259,0.014298982668350689
deit_tiny_search_cfg_08,5e-05,cosine,0.1,0.1,0.8096296296296296,0.004183054193628231,0.8071111111111112,0.012686144867726288
deit_tiny_search_cfg_09,0.0002,none,0.0,0.05,0.7727407407407408,0.0014113006580191007,0.7704444444444444,0.015625240738886225
deit_tiny_search_cfg_10,0.0002,none,0.0,0.1,0.7782962962962964,0.0024977356000130163,0.7737777777777778,0.015625240738886173
deit_tiny_search_cfg_11,0.0002,none,0.1,0.05,0.7768148148148147,0.005480980958129161,0.7775555555555554,0.0032885885748774736
deit_tiny_search_cfg_12,0.0002,none,0.1,0.1,0.7725925925925926,0.004333808141128892,0.7678518518518519,0.00803182968356797
deit_tiny_search_cfg_13,0.0002,cosine,0.0,0.05,0.8091851851851852,0.006341450289133105,0.8094814814814816,0.007967010168740034
deit_tiny_search_cfg_14,0.0002,cosine,0.0,0.1,0.8134074074074075,0.005675737112441679,0.8101481481481482,0.007063498008439315
deit_tiny_search_cfg_15,0.0002,cosine,0.1,0.05,0.8083703703703704,0.008105274409360257,0.8066666666666666,0.009407115772674148
deit_tiny_search_cfg_16,0.0002,cosine,0.1,0.1,0.8097037037037037,0.0029341188622723454,0.8099259259259259,0.007967010168740034
