config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy,seed
deit_tiny_search_cfg_01,5e-05,none,0.0,0.05,0.8017777777777778,0.8124444444444444,13
deit_tiny_search_cfg_02,5e-05,none,0.0,0.1,0.81,0.8133333333333334,13
deit_tiny_search_cfg_03,5e-05,none,0.1,0.05,0.802,0.822,13
deit_tiny_search_cfg_04,5e-05,none,0.1,0.1,0.8026666666666666,0.8224444444444444,13
deit_tiny_search_cfg_05,5e-05,cosine,0.0,0.05,0.8053333333333333,0.816,13
deit_tiny_search_cfg_06,5e-05,cosine,0.0,0.1,0.806,0.814,13
deit_tiny_search_cfg_07,5e-05,cosine,0.1,0.05,0.8075555555555556,0.8217777777777778,13
deit_tiny_search_cfg_08,5e-05,cosine,0.1,0.1,0.8075555555555556,0.8215555555555556,13
deit_tiny_search_cfg_09,0.0002,none,0.0,0.05,0.7735555555555556,0.7882222222222223,13
deit_tiny_search_cfg_10,0.0002,none,0.0,0.1,0.7804444444444445,0.7915555555555556,13
deit_tiny_search_cfg_11,0.0002,none,0.1,0.05,0.7731111111111111,0.7797777777777778,13
deit_tiny_search_cfg_12,0.0002,none,0.1,0.1,0.7726666666666666,0.7713333333333333,13
deit_tiny_search_cfg_13,0.0002,cosine,0.0,0.05,0.802,0.8186666666666667,13
deit_tiny_search_cfg_14,0.0002,cosine,0.0,0.1,0.8075555555555556,0.8182222222222222,13
deit_tiny_search_cfg_15,0.0002,cosine,0.1,0.05,0.8022222222222222,0.8173333333333334,13
deit_tiny_search_cfg_16,0.0002,cosine,0.1,0.1,0.8071111111111111,0.8191111111111111,13
deit_tiny_search_cfg_01,5e-05,none,0.0,0.05,0.8053333333333333,0.7975555555555556,37
deit_tiny_search_cfg_02,5e-05,none,0.0,0.1,0.8055555555555556,0.7922222222222223,37
deit_tiny_search_cfg_03,5e-05,none,0.1,0.05,0.8017777777777778,0.7904444444444444,37
deit_tiny_search_cfg_04,5e-05,none,0.1,0.1,0.8002222222222222,0.7891111111111111,37
deit_tiny_search_cfg_05,5e-05,cosine,0.0,0.05,0.8015555555555556,0.7957777777777778,37
deit_tiny_search_cfg_06,5e-05,cosine,0.0,0.1,0.8028888888888889,0.7933333333333333,37
deit_tiny_search_cfg_07,5e-05,cosine,0.1,0.05,0.8048888888888889,0.794,37
deit_tiny_search_cfg_08,5e-05,cosine,0.1,0.1,0.8068888888888889,0.802,37
deit_tiny_search_cfg_09,0.0002,none,0.0,0.05,0.7711111111111111,0.7642222222222222,37
deit_tiny_search_cfg_10,0.0002,none,0.0,0.1,0.7788888888888889,0.7675555555555555,37
deit_tiny_search_cfg_11,0.0002,none,0.1,0.05,0.7831111111111111,0.7791111111111111,37
deit_tiny_search_cfg_12,0.0002,none,0.1,0.1,0.7768888888888889,0.7735555555555556,37
deit_tiny_search_cfg_13,0.0002,cosine,0.0,0.05,0.814,0.8044444444444444,37
deit_tiny_search_cfg_14,0.0002,cosine,0.0,0.1,0.8137777777777778,0.8071111111111111,37
deit_tiny_search_cfg_15,0.0002,cosine,0.1,0.05,0.8053333333333333,0.7995555555555556,37
deit_tiny_search_cfg_16,0.0002,cosine,0.1,0.1,0.8091111111111111,0.8048888888888889,37
deit_tiny_search_cfg_01,5e-05,none,0.0,0.05,0.8073333333333333,0.7957777777777778,73
deit_tiny_search_cfg_02,5e-05,none,0.0,0.1,0.806,0.7982222222222223,73
deit_tiny_search_cfg_03,5e-05,none,0.1,0.05,0.8053333333333333,0.7975555555555556,73
deit_tiny_search_cfg_04,5e-05,none,0.1,0.1,0.8062222222222222,0.7973333333333333,73
deit_tiny_search_cfg_05,5e-05,cosine,0.0,0.05,0.8048888888888889,0.7977777777777778,73
deit_tiny_search_cfg_06,5e-05,cosine,0.0,0.1,0.8051111111111111,0.8008888888888889,73
deit_tiny_search_cfg_07,5e-05,cosine,0.1,0.05,0.8153333333333334,0.802,73
deit_tiny_search_cfg_08,5e-05,cosine,0.1,0.1,0.8144444444444444,0.7977777777777778,73
deit_tiny_search_cfg_09,0.0002,none,0.0,0.05,0.7735555555555556,0.7588888888888888,73
deit_tiny_search_cfg_10,0.0002,none,0.0,0.1,0.7755555555555556,0.7622222222222222,73
deit_tiny_search_cfg_11,0.0002,none,0.1,0.05,0.7742222222222223,0.7737777777777778,73
deit_tiny_search_cfg_12,0.0002,none,0.1,0.1,0.7682222222222223,0.7586666666666667,73
deit_tiny_search_cfg_13,0.0002,cosine,0.0,0.05,0.8115555555555556,0.8053333333333333,73
deit_tiny_search_cfg_14,0.0002,cosine,0.0,0.1,0.8188888888888889,0.8051111111111111,73
deit_tiny_search_cfg_15,0.0002,cosine,0.1,0.05,0.8175555555555556,0.8031111111111111,73
deit_tiny_search_cfg_16,0.0002,cosine,0.1,0.1,0.8128888888888889,0.8057777777777778,73
