config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy
deit_tiny_search_cfg_01,5e-05,none,0.0,0.05,0.8053333333333333,0.7975555555555556
deit_tiny_search_cfg_02,5e-05,none,0.0,0.1,0.8055555555555556,0.7922222222222223
deit_tiny_search_cfg_03,5e-05,none,0.1,0.05,0.8017777777777778,0.7904444444444444
deit_tiny_search_cfg_04,5e-05,none,0.1,0.1,0.8002222222222222,0.7891111111111111
deit_tiny_search_cfg_05,5e-05,cosine,0.0,0.05,0.8015555555555556,0.7957777777777778
deit_tiny_search_cfg_06,5e-05,cosine,0.0,0.1,0.8028888888888889,0.7933333333333333
deit_tiny_search_cfg_07,5e-05,cosine,0.1,0.05,0.8048888888888889,0.794
deit_tiny_search_cfg_08,5e-05,cosine,0.1,0.1,0.8068888888888889,0.802
deit_tiny_search_cfg_09,0.0002,none,0.0,0.05,0.7711111111111111,0.7642222222222222
deit_tiny_search_cfg_10,0.0002,none,0.0,0.1,0.7788888888888889,0.7675555555555555
deit_tiny_search_cfg_11,0.0002,none,0.1,0.05,0.7831111111111111,0.7791111111111111
deit_tiny_search_cfg_12,0.0002,none,0.1,0.1,0.7768888888888889,0.7735555555555556
deit_tiny_search_cfg_13,0.0002,cosine,0.0,0.05,0.814,0.8044444444444444
deit_tiny_search_cfg_14,0.0002,cosine,0.0,0.1,0.8137777777777778,0.8071111111111111
deit_tiny_search_cfg_15,0.0002,cosine,0.1,0.05,0.8053333333333333,0.7995555555555556
deit_tiny_search_cfg_16,0.0002,cosine,0.1,0.1,0.8091111111111111,0.8048888888888889
