config_id,lr,scheduler,drop_path,weight_decay,val_accuracy_mean,val_accuracy_std,test_accuracy_mean,test_accuracy_std
efficientnet_b3_search_cfg_01,0.0003,none,0.0,0.0001,0.8314814814814815,0.005453884484207426,0.8365185185185186,0.004747102213336912
efficientnet_b3_search_cfg_02,0.0003,none,0.0,0.0005,0.8357777777777778,0.00437162568286801,0.8356296296296296,0.0023129622216290424
efficientnet_b3_search_cfg_03,0.0003,none,0.1,0.0001,0.8371851851851853,0.0034450417642173424,0.8418518518518519,0.005232063225603069
efficientnet_b3_search_cfg_04,0.0003,none,0.1,0.0005,0.836,0.0017356110390904106,0.8434074074074074,0.0027427420120849314
efficientnet_b3_search_cfg_05,0.0003,cosine,0.0,0.0001,0.848,0.0023200681130912484,0.8523703703703704,0.0036197901401098186
efficientnet_b3_search_cfg_06,0.0003,cosine,0.0,0.0005,0.8487407407407407,0.0027962349760262176,0.853925925925926,0.005864028587559956
efficientnet_b3_search_cfg_07,0.0003,cosine,0.1,0.0001,0.8534814814814814,0.0006789001029563742,0.855111111111111,0.003055050463303899
efficientnet_b3_search_cfg_08,0.0003,cosine,0.1,0.0005,0.855111111111111,0.0016024672335395065,0.8565185185185186,0.0020163937168616317
efficientnet_b3_search_cfg_09,0.001,none,0.0,0.0001,0.7776296296296296,0.011837027766185575,0.7832592592592592,0.008945192055252358
efficientnet_b3_search_cfg_10,0.001,none,0.0,0.0005,0.7870370370370371,0.006615855751533788,0.790074074074074,0.003515983492238741
efficientnet_b3_search_cfg_11,0.001,none,0.1,0.0001,0.7882222222222222,0.008113393894901705,0.7922222222222223,0.006625800673722528
efficientnet_b3_search_cfg_12,0.001,none,0.1,0.0005,0.782962962962963,0.0030252707935795467,0.7899259259259259,0.007963910365690755
efficientnet_b3_search_cfg_13,0.001,cosine,0.0,0.0001,0.8284444444444444,0.005777777777777771,0.8295555555555555,0.005790584098131261
efficientnet_b3_search_cfg_14,0.001,cosine,0.0,0.0005,0.8308148148148149,0.0023129622216290645,0.832,0.00815891544474932
efficientnet_b3_search_cfg_15,0.001,cosine,0.1,0.0001,0.8354074074074074,0.006175752399139159,0.8360740740740741,0.002760688170901343
efficientnet_b3_search_cfg_16,0.001,cosine,0.1,0.0005,0.8342222222222223,0.0021886350670657652,0.8396296296296297,0.007807351183998837
