config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy,seed
efficientnet_b3_search_cfg_01,0.0003,none,0.0,0.0001,0.8311111111111111,0.84,13
efficientnet_b3_search_cfg_02,0.0003,none,0.0,0.0005,0.8351111111111111,0.8382222222222222,13
efficientnet_b3_search_cfg_03,0.0003,none,0.1,0.0001,0.8406666666666667,0.8468888888888889,13
efficientnet_b3_search_cfg_04,0.0003,none,0.1,0.0005,0.834,0.8464444444444444,13
efficientnet_b3_search_cfg_05,0.0003,cosine,0.0,0.0001,0.8464444444444444,0.854,13
efficientnet_b3_search_cfg_06,0.0003,cosine,0.0,0.0005,0.8491111111111111,0.8606666666666667,13
efficientnet_b3_search_cfg_07,0.0003,cosine,0.1,0.0001,0.8528888888888889,0.8584444444444445,13
efficientnet_b3_search_cfg_08,0.0003,cosine,0.1,0.0005,0.8533333333333334,0.858,13
efficientnet_b3_search_cfg_09,0.001,none,0.0,0.0001,0.7675555555555555,0.7866666666666666,13
efficientnet_b3_search_cfg_10,0.001,none,0.0,0.0005,0.7828888888888889,0.7908888888888889,13
efficientnet_b3_search_cfg_11,0.001,none,0.1,0.0001,0.78,0.794,13
efficientnet_b3_search_cfg_12,0.001,none,0.1,0.0005,0.7795555555555556,0.7984444444444444,13
efficientnet_b3_search_cfg_13,0.001,cosine,0.0,0.0001,0.8226666666666667,0.83,13
efficientnet_b3_search_cfg_14,0.001,cosine,0.0,0.0005,0.8282222222222222,0.8284444444444444,13
efficientnet_b3_search_cfg_15,0.001,cosine,0.1,0.0001,0.8308888888888889,0.8377777777777777,13
efficientnet_b3_search_cfg_16,0.001,cosine,0.1,0.0005,0.8366666666666667,0.8413333333333334,13
efficientnet_b3_search_cfg_01,0.0003,none,0.0,0.0001,0.8371111111111111,0.8311111111111111,37
efficientnet_b3_search_cfg_02,0.0003,none,0.0,0.0005,0.8404444444444444,0.8337777777777777,37
efficientnet_b3_search_cfg_03,0.0003,none,0.1,0.0001,0.8371111111111111,0.8364444444444444,37
efficientnet_b3_search_cfg_04,0.0003,none,0.1,0.0005,0.8368888888888889,0.8411111111111111,37
efficientnet_b3_search_cfg_05,0.0003,cosine,0.0,0.0001,0.8506666666666667,0.8482222222222222,37
efficientnet_b3_search_cfg_06,0.0003,cosine,0.0,0.0005,0.8513333333333334,0.8511111111111112,37
efficientnet_b3_search_cfg_07,0.0003,cosine,0.1,0.0001,0.8542222222222222,0.8524444444444444,37
efficientnet_b3_search_cfg_08,0.0003,cosine,0.1,0.0005,0.8555555555555555,0.8542222222222222,37
efficientnet_b3_search_cfg_09,0.001,none,0.0,0.0001,0.7906666666666666,0.79,37
efficientnet_b3_search_cfg_10,0.001,none,0.0,0.0005,0.7946666666666666,0.7862222222222223,37
efficientnet_b3_search_cfg_11,0.001,none,0.1,0.0001,0.7884444444444444,0.7848888888888889,37
efficientnet_b3_search_cfg_12,0.001,none,0.1,0.0005,0.7853333333333333,0.7826666666666666,37
efficientnet_b3_search_cfg_13,0.001,cosine,0.0,0.0001,0.8342222222222222,0.8235555555555556,37
efficientnet_b3_search_cfg_14,0.001,cosine,0.0,0.0005,0.8326666666666667,0.8262222222222222,37
efficientnet_b3_search_cfg_15,0.001,cosine,0.1,0.0001,0.8424444444444444,0.8328888888888889,37
efficientnet_b3_search_cfg_16,0.001,cosine,0.1,0.0005,0.8324444444444444,0.8311111111111111,37
efficientnet_b3_search_cfg_01,0.0003,none,0.0,0.0001,0.8262222222222222,0.8384444444444444,73
efficientnet_b3_search_cfg_02,0.0003,none,0.0,0.0005,0.8317777777777777,0.8348888888888889,73
efficientnet_b3_search_cfg_03,0.0003,none,0.1,0.0001,0.8337777777777777,0.8422222222222222,73
efficientnet_b3_search_cfg_04,0.0003,none,0.1,0.0005,0.8371111111111111,0.8426666666666667,73
efficientnet_b3_search_cfg_05,0.0003,cosine,0.0,0.0001,0.8468888888888889,0.8548888888888889,73
efficientnet_b3_search_cfg_06,0.0003,cosine,0.0,0.0005,0.8457777777777777,0.85,73
efficientnet_b3_search_cfg_07,0.0003,cosine,0.1,0.0001,0.8533333333333334,0.8544444444444445,73
efficientnet_b3_search_cfg_08,0.0003,cosine,0.1,0.0005,0.8564444444444445,0.8573333333333333,73
efficientnet_b3_search_cfg_09,0.001,none,0.0,0.0001,0.7746666666666666,0.7731111111111111,73
efficientnet_b3_search_cfg_10,0.001,none,0.0,0.0005,0.7835555555555556,0.7931111111111111,73
efficientnet_b3_search_cfg_11,0.001,none,0.1,0.0001,0.7962222222222223,0.7977777777777778,73
efficientnet_b3_search_cfg_12,0.001,none,0.1,0.0005,0.784,0.7886666666666666,73
efficientnet_b3_search_cfg_13,0.001,cosine,0.0,0.0001,0.8284444444444444,0.8351111111111111,73
efficientnet_b3_search_cfg_14,0.001,cosine,0.0,0.0005,0.8315555555555556,0.8413333333333334,73
efficientnet_b3_search_cfg_15,0.001,cosine,0.1,0.0001,0.8328888888888889,0.8375555555555556,73
efficientnet_b3_search_cfg_16,0.001,cosine,0.1,0.0005,0.8335555555555556,0.8464444444444444,73
