config_id,lr,scheduler,drop_path,weight_decay,val_accuracy,test_accuracy
efficientnet_b3_search_cfg_01,0.0003,none,0.0,0.0001,0.8371111111111111,0.8311111111111111
efficientnet_b3_search_cfg_02,0.0003,none,0.0,0.0005,0.8404444444444444,0.8337777777777777
efficientnet_b3_search_cfg_03,0.0003,none,0.1,0.0001,0.8371111111111111,0.8364444444444444
efficientnet_b3_search_cfg_04,0.0003,none,0.1,0.0005,0.8368888888888889,0.8411111111111111
efficientnet_b3_search_cfg_05,0.0003,cosine,0.0,0.0001,0.8506666666666667,0.8482222222222222
efficientnet_b3_search_cfg_06,0.0003,cosine,0.0,0.0005,0.8513333333333334,0.8511111111111112
efficientnet_b3_search_cfg_07,0.0003,cosine,0.1,0.0001,0.8542222222222222,0.8524444444444444
efficientnet_b3_search_cfg_08,0.0003,cosine,0.1,0.0005,0.8555555555555555,0.8542222222222222
efficientnet_b3_search_cfg_09,0.001,none,0.0,0.0001,0.7906666666666666,0.79
efficientnet_b3_search_cfg_10,0.001,none,0.0,0.0005,0.7946666666666666,0.7862222222222223
efficientnet_b3_search_cfg_11,0.001,none,0.1,0.0001,0.7884444444444444,0.7848888888888889
efficientnet_b3_search_cfg_12,0.001,none,0.1,0.0005,0.7853333333333333,0.7826666666666666
efficientnet_b3_search_cfg_13,0.001,cosine,0.0,0.0001,0.8342222222222222,0.8235555555555556
efficientnet_b3_search_cfg_14,0.001,cosine,0.0,0.0005,0.8326666666666667,0.8262222222222222
efficientnet_b3_search_cfg_15,0.001,cosine,0.1,0.0001,0.8424444444444444,0.8328888888888889
efficientnet_b3_search_cfg_16,0.001,cosine,0.1,0.0005,0.8324444444444444,0.8311111111111111
